IMG,BUILDING,GRASS,WATER,ROAD,SKY,TREES,PLANTS,FENCE,CAR,BICYCLE,TRUCK,PERSON,CAR_COUNT,BICYCLE_COUNT,TRUCK_COUNT,PERSON_COUNT,MIN_DISTANCE,MAX_DISTANCE,MEAN_DISTANCE,MIN_MIN_DIST,MAX_MIN_DIST,MIN_MAX_DIST,MAX_MAX_DIST,MIN_MEAN_DIST,MAX_MEAN_DIST
Bzp5OsRz5f7JgwT0eyqHgQa.png,0.0955,0.2963,0.0,0.1874,0.2765,0.0928,0.0516,0.0,0.0,0.0,0.0,0.0,0,0,0,0,5.5969,53.7836,17.9007,0,0,0,0,0,0
uAsOUm49qFahL3syyExHmwa.png,0.8919,0.0,0.0,0.0704,0.0,0.0,0.0376,0.0,0.0,0.0,0.0,0.0,0,0,0,0,5.5362,16.7874,11.816,0,0,1,0,1,0
M-upKo3CK0Gng4F95CjedQb.png,0.0939,0.2594,0.0831,0.0,0.3552,0.0733,0.1314,0.0,0.0037,0.0,0.0,0.0,5,0,0,0,5.1557,79.2431,27.47,0,0,0,1,0,1
BKeEeFMaRZhQRyW8HpQzuga.png,0.4474,0.4523,0.0,0.0,0.0,0.1002,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,4.3895,34.5321,11.8353,0,0,1,0,1,0
JNyPxvSW4iOkxJXbsJZh8Qa.png,0.1682,0.0062,0.0,0.2994,0.3208,0.0791,0.1016,0.0,0.0135,0.0,0.0111,0.0002,2,0,2,1,3.9415,71.2394,25.8098,0,0,0,0,0,0
uTW6Da22psgHrwWNNUAoNgb.png,0.2921,0.0362,0.0,0.0489,0.1951,0.1662,0.2364,0.024,0.0,0.0,0.0,0.0,0,0,0,0,5.2794,66.7488,20.2871,0,0,0,0,0,0
XWQbW7uoCQLgr7vscf9f7Qa.png,0.1977,0.0645,0.0,0.1618,0.234,0.1153,0.2004,0.0226,0.0,0.0,0.0,0.0019,0,0,0,1,4.4661,69.2334,24.4626,0,0,0,0,0,0
PYEMgO1xRH7r40KGPIKneQb.png,0.535,0.0,0.0,0.1735,0.0894,0.0901,0.0329,0.0,0.0779,0.0,0.0,0.0012,2,0,0,2,5.0305,49.3921,16.0672,0,0,0,0,0,0
EkZKYjtv2elHffmqvjZ_oQa.png,0.3968,0.0543,0.0,0.1985,0.2042,0.0,0.0375,0.0,0.1086,0.0,0.0,0.0,2,0,0,0,5.2467,66.618,19.2708,0,0,0,0,0,0
0oylLaXp7gwS91gde9641Qb.png,0.0711,0.1585,0.0,0.1732,0.0665,0.4228,0.0708,0.0088,0.015,0.0004,0.0015,0.0,3,1,1,0,4.9185,66.4291,16.9224,0,0,0,0,0,0
kaI0h6S2K4tSaUvPZhldxwb.png,0.0,0.356,0.0,0.0,0.2316,0.2791,0.0,0.1317,0.0003,0.0,0.0012,0.0,1,0,1,0,4.8066,73.8608,23.7525,0,0,0,0,0,0
52nl6uMlcEPg-n7iCL6uLQa.png,0.0,0.1382,0.0,0.2377,0.0,0.6084,0.0157,0.0,0.0,0.0,0.0,0.0,0,0,0,0,5.5992,33.2784,14.4409,0,0,1,0,0,0
QWeZ3LtXfKicrpgB2NmZRQb.png,0.2789,0.0998,0.0,0.2749,0.2917,0.0355,0.0,0.0,0.0171,0.0,0.001,0.0011,4,0,1,1,5.4024,78.7792,23.7528,0,0,0,1,0,0
1fmyssJYQjqLnDp1TQ_Yxwb.png,0.0,0.0,0.0474,0.1918,0.067,0.4963,0.0693,0.1269,0.0,0.0,0.0,0.0,0,0,0,0,3.9212,77.8903,15.6447,0,0,0,1,0,0
Ei6-LdRH3KhUkG5vL2hfVAa.png,0.7,0.0433,0.0,0.1497,0.0,0.0,0.076,0.0,0.0229,0.0051,0.0,0.0,3,3,0,0,5.1759,47.6335,13.5409,0,0,0,0,1,0
2ZND8i2uj4hdZoHk3Cm7OQa.png,0.0,0.2956,0.0,0.1138,0.0927,0.4185,0.0786,0.0,0.0,0.0004,0.0,0.0,0,1,0,0,2.849,72.5174,22.667,1,0,0,0,0,0
Y0G6dL-HCcotZUU0eTv0lga.png,0.1664,0.0359,0.0,0.3039,0.1345,0.2131,0.0453,0.0,0.0998,0.0,0.0,0.0,3,0,0,0,5.7814,65.1404,18.6217,0,0,0,0,0,0
1gf09TzJAJuwzTFMexErogb.png,0.0396,0.2391,0.0,0.2055,0.1104,0.3781,0.0221,0.0,0.0006,0.0,0.0033,0.0,2,0,1,0,5.6983,75.9724,24.6533,0,0,0,0,0,0
